year,chin_returns,coho_returns,sock_returns,sthd_returns,spending,chin_rel,coho_rel,sock_rel,sthd_rel,pdo
1970,384780,80116,70762,113510,0,5228659,654176,0,0,-0.4
1971,405702,75989,87447,193966,0,3078925,4718036,0,0,-1.32
1972,394456,65932,56323,185886,0,10361967,3077386,0,0,-1.14
1973,398635,54609,58979,157823,0,16491529,2588334,0,0,-1.14
1974,366759,60955,43837,137054,0,20009508,2262566,0,0,-0.3
1975,425566,58307,58212,85540,0,25076253,2023529,0,6283666,-1.41
1976,507773,53150,43611,124177,0,55534016,4797945,0,3979957,-0.15
1977,366657,19408,99829,193437,0,52731832,9165547,0,3891612,0.05
1978,394600,52590,18436,104431,1.587798,55850080,6876333,0,3503616,0.07
1979,276306,45328,52628,114007,3.493592,62484740,5635865,0,4749457,0.11
1980,207770,12974,58882,129254,4.962638,58390134,5811478,0,5233456,0.31
1981,232299,21935,56037,159270,5.751356,57617311,5636697,0,5073806,0.84
1982,247911,55816,50219,157640,17.11103,39676202,5155925,0,6711528,-0.26
1983,185665,8401,100527,213779,24.55586,59583757,5929367,630815,7386046,1.25
1984,216465,16694,152545,315587,50.81564,68286861,5160584,230674,9250569,0.6
1985,296429,38550,166340,343961,59.45918,52081841,5179134,55432,8677702,0.03
1986,370729,108649,58123,379891,67.04055,52694237,8067217,21796,10191210,1.01
1987,468610,17922,116993,303081,76.0713,54105213,9238641,0,11742592,1.14
1988,411896,27054,79714,279072,52.26538,64356019,10729835,24329,11607118,-0.04
1989,373205,27402,41884,287798,95.59309,62185519,8146037,98192,11503943,-0.5
1990,296525,11627,49581,183027,97.60363,60460584,7628890,370675,14511575,-0.83
1991,226411,58868,76481,274545,138.7546,65508555,7426618,560112,13130490,-0.88
1992,219688,14369,84992,314975,177.2385,73624211,7169928,491861,12141176,0.76
1993,259337,10642,80178,188377,176.0094,52129687,6603177,378757,11938728,1.04
1994,208197,20291,12678,161978,169.3623,72443536,7278206,204562,13396706,-0.49
1995,189419,10395,8774,202448,248.7405,63124852,6825871,95366,12562556,0.44
1996,272884,14954,30232,205216,172.8871,57150702,9454237,13496,12676461,0.68
1997,360673,24061,47008,258385,116.9245,43241763,6969953,255711,11946107,1.32
1998,248860,46290,13218,185094,171.6727,52012063,9240066,223498,11344040,-0.48
1999,306981,40684,17877,206488,179.5521,45161697,9443377,121344,11578523,-1.84
2000,401711,85649,93398,275178,225.3099,58547506,9602001,240217,11848691,-1.13
2001,867728,259533,114934,633073,247.8652,49790409,9178783,120064,11449923,-1.13
2002,871763,88570,49610,483956,258.6096,65729627,9410251,420618,11379305,-0.44
2003,921314,125746,39291,365821,211.5396,60047968,7952935,76788,10695578,0.38
2004,846026,114941,123291,313377,270.1143,48980072,8899994,483216,11131776,-0.22
2005,570413,83305,72971,315650,352.3036,49341882,6817618,1356216,10455761,-0.19
2006,493708,102111,37066,339301,300.0718,50764520,7315573,1577344,11118140,-0.35
2007,275954,96376,24376,325275,298.2776,49409689,7431964,1580673,10222032,-0.7
2008,518942,135535,213607,357845,296.9133,51862235,7018197,1036246,10423157,-1.66
2009,480284,224893,177823,604970,442.0622,64784842,7672585,2002424,10555567,-1.03
2010,809799,120915,386525,416603,374.5386,66431449,7998370,1120465,10293542,-1.06
2011,677171,145299,185796,369365,374.5838,62987694,6615622,1197395,10348002,-1.81
2012,589937,54968,515673,235303,452.9649,62236088,7209920,1021806,11212334,-1.73
2013,1129664,59610,185505,234047,382.7888,65007821,6786176,1147060,11172909,-1.17
2014,1152643,279717,614179,325965,355.2289,62347026,7076686,296389,11969750,0.55
2015,1337101,37402,510706,268730,404.0438,62977691,6172498,2187592,12341442,0.92
2016,697981,42020,342498,188146,397.9518,62399609,5967036,1002593,11220660,0.67
2017,488981,75936,87693,117878,411.3714,65135749,5370032,5912100,11296089,-0.09
2018,336030,40889,193816,102920,,64549963,6696552,1887204,10836434,-0.36
2019,381773,73961,63046,77319,,61932182,6820775,1105413,10854033,-0.15
2020,535746,121624,341739,114433,,,,,,-1.14